name,scraped_time,on_sale,discount,original_price,sale_price,average_rating,scores,review_texts,Brand,SKU,Battery Capacity,Screen Size (inches),Build Type,Camera Front (Megapixels),Camera Back (Megapixels),Number Of Cameras,Display Protection,Model Year,Network Connections,Fast Charging,Wireless Charging,Number of SIM Slots,PPI,Charger Type,Flash,Bluetooth Support,Wi-Fi,SIM Type,Removable Battery,GPS,FM Radio,NFC,Fingerprint Sensor,Expandable Storage,Memory Card Slot Type,Video Resolution,Operating System,Notchted Display,Model,Headphone Jack,Display Type,Processor Type,Refresh Rate,Resolution,Warranty Policy EN
POCO M3 Pro 5G ,16/05/23,False,,23999.0,23999.0,4.9,"[13, 2, 0, 0, 0]","nice design n perfect for gaming love it thank you darazHappy with the quality love itUI Ali buggy xa Bela Bela app haru aafai close ra hang hunxa, Messenger chat head Pani bugged vaidinxa sometimes. game works smoothly, PUBG, MLBB, COD, but Genshin on lowest settings ma Pani sakdaina run garna. wanted to stream on omlet but milirako xaina . the app always crashes and closes . faced UI not working problem twice (been less than a week since I bought this) heating problem khassai xaina. battery works fine for whole day. even MLBB for 6-7 hours regularly. other game drains the battery fast . would recommend if u want to buy a gaming phone.I ordered blue but you delivered yellow ...thanks for the  Quick service 🙏🙏𝓶𝓸𝓫𝓲𝓵𝓮 𝓲𝓼 𝓷𝓸𝓽 𝓫𝓮𝓼𝓽",POCO,106141865_NP-1027983109,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8 MP,48 MP + 2 MP + 2 MP,4,Corning Gorilla Glass 3,2021,"4G,3G,2G,5G",No,No,2,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
Nokia C1 2nd Edition ,16/05/23,True,-11%,7499.0,6649.0,4.6,"[5, 3, 0, 0, 0]",i have ordered nokia C1PLUS BUT i received nokia C1 2nd editionbudget phone👍,Nokia,105507032_NP-1027275529,Not Specified,5.1 - 5.5 Inch,Plastic,Not Specified,Not Specified,2,Glass,2021,Not Specified,no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A24 Lte ,16/05/23,False,,28999.0,28999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127455284_NP-1034539372,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP wide,Triple 50MP wide+ 5MP UltraWide +2MP macro,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA",25W Supported,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SM-A245F,Yes,AMOLED,Quad-core,90 Hz,Full HD,
Oppo A17k ,16/05/23,True,-3%,15000.0,14600.0,0.0,"[0, 0, 0, 0, 0]",,OPPO,126954766_NP-1034434338,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8MP,2,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",18W,No,2,,Type-C,Yes,,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2471,Yes,IPS LCD,Octa-core,60 Hz,HD,
Micromax IN 2B ,16/05/23,True,-8%,15990.0,14690.0,4.8,"[4, 1, 0, 0, 0]",,Micromax,111328198_NP-1030170044,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 MP,13 MP,3,Glass,2021,GSM,Yes,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,,No,,,,Rear,,Dedicated,Full HD,Android,Yes,IN 2b,Yes,IPS LCD,Not Specified,60 Hz,Full HD,
VIVO V21e 6,16/05/23,True,-6%,39999.0,37499.0,5.0,"[2, 0, 0, 0, 0]","Recently purchased a Vivo device and I must say, it exudes a premium feel that truly sets it apart in the market. One of the standout features is the device charger, which is incredibly efficient, charging my phone within just 45 minutes.

I would like to express my gratitude to the shopkeeper who went above and beyond to ensure that my order was delivered safely and promptly. Their exceptional customer service made my shopping experience all the more pleasant.

Thank you, Dz, for connecting me with such a reliable shopkeeper, and thank you, Vivo, for producing such an exceptional device. I am delighted with my purchase and will undoubtedly recommend Vivo to others in the future🤗🤗",Vivo,119105483_NP-1032612639,4000 - 4999 mAh,6.1 - 6.5 Inch,,44,64+8+2,3,Glasstic,2021,"4G,GSM,3G",44w,No,2,400-500 PPI,USB Type-A,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Dedicated,1080p,Android,Yes,vivo v21e,Yes,AMOLED,Snapdragon 720G,90 Hz,"HD,Full HD",
Realme C33 Mobile Phone ,16/05/23,False,,18499.0,18499.0,5.0,"[6, 0, 0, 0, 0]",I got exactly what I want in this segment. I bought this device for my sister and she loved it.Nice deliverywhat a deal,RealMe,120167332_NP-1032882303,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Dual 50MP+0.3MP,3,Plastic,2022,"4G,GSM,3G,3.5G - HSDPA",15W,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3624,Yes,IPS LCD,Octa-core,,HD,
Samsung Galaxy A14 LTE ,16/05/23,False,,20999.0,20999.0,5.0,"[1, 0, 0, 0, 0]",,Samsung,125950886_NP-1034167822,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP,"50MP primary, 2MP depth, 2MP macro",4,Glass,2023,"4G,GSM",15W Fast Charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,A14 5G,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD",
Vitu Cro 1 Pro ,16/05/23,True,-12%,10000.0,8800.0,2.7,"[2, 0, 0, 2, 2]",this mobile charge decreasing very fast 😭Last Hang Hunxa ..Dont recommend itkam xaina yo mobileVery poor,ViTU,112291716_NP-1030382390,4000 - 4999 mAh,6.1 - 6.5 Inch,Plastic,5.0MP,8.0MP,4,Glass,2021,4G,No,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
HONOR X7a ,16/05/23,False,,22990.0,22990.0,5.0,"[3, 0, 0, 0, 0]",This smart phone is reliable for all age group. It has great battery capacity in such a price. it has many new function.t has decent front and back camera quality. it is great storage space in use. I see no lagging problem till now. Over all it is great in mobile use.,Honor,123226387_NP-1033474950,6000 - 6999 mAh,6.6 - 7 Inch,Glass,8MP,50MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",22.5 W,No,2,,,,,,,,,,,,,,,,,,,,,,,
Realme C55 ,16/05/23,True,-2%,25999.0,25500.0,0.0,"[0, 0, 0, 0, 0]",,RealMe,126557740_NP-1034303121,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,64MP+2MP,3,Glass,2023,"4G,GSM,2G,3.5G - HSDPA",33W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3710,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Redmi 12C ,16/05/23,False,,16999.0,16999.0,0.0,"[0, 0, 0, 0, 0]",,Redmi,127451439_NP-1034530681,5000 - 5999 mAh,6.6 - 7 Inch,Not Specified,5MP,50MP AI Dual Camera,3,Glass,2023,"4G,3G,2G",10W Fast Charging,No,2,,Micro USB,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,
Nokia 1,16/05/23,True,-5%,9000.0,8550.0,5.0,"[1, 0, 0, 0, 0]",,Nokia,125612060_NP-1034066613,4000 - 4999 mAh,6.1 - 6.5 Inch,Not Specified,8,2,2,Glass,2022,GSM,yes,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A14 LTE ,16/05/23,False,,20999.0,20999.0,5.0,"[2, 0, 0, 0, 0]","thanks for fast delivery, the product was good",Samsung,125808653_NP-1034107112,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP,Triple 50MP+5MP+2MP,4,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,,,,,,Yes,A144G,Yes,IPS LCD,Octa-core,60 Hz,Full HD,
realme GT 2 PRO ,16/05/23,False,,109999.0,109999.0,4.0,"[0, 1, 0, 0, 0]","If have have to rate the phone its like 4 out of 5. It has good specs and features but considering its price, its lacking in some areas. 
For daraz though it was 5 out of 5. The costumer service was great.",RealMe,115974387_NP-1031721916,5000 - 5999 mAh,6.6 - 7 Inch,Not Specified,32MP Selfie Camera/SONY IMX615 Sensor,50 MP + 50 MP + 3 MP,4,Gorilla Glass Victus,2022,5G,65 W,Not Specified,2,Above 500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,On-Screen,Yes,Dedicated,4K,Android,,GT 2 Pro,Yes,AMOLED,Octa-core,120 Hz,,
Apple iPhone 14 Pro Max ,16/05/23,True,-4%,226990.0,217790.0,5.0,"[3, 0, 0, 0, 0]","I got the iphone 14 pro max silver 256 gb rite today. And i am happy with the product that I got geniune authorized at offered price. I am satisfied with the delivery time too. hope there will be more offer price with the product i am intrested in future.Awesome experience. Thank you so much. Got nice discount & get 30 watt charger. Thanks Daraz & Evo store.
No worries to order it.
It was packed with the tag Fragile item so that it will be delivered safely. So it is safe to order.
The seller Evo store & Daraz both are great.",Apple,122751451_NP-1033362804,4000 - 4999 mAh,6.6 - 7 Inch,Ceramic,12MP,48MP+12MP+12MP,4,Corning Gorilla Glass,2022,"4G,GSM,3G,2G,5G",Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,Manufacturing defects only.
Motorola G31 ,16/05/23,True,-4%,23999.0,22999.0,4.8,"[3, 1, 0, 0, 0]",mobile is good but I didnt got warranty card and temper glass,Motorola,119740235_NP-1032757106,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,50,13,4,Glass,2022,"4G,GSM",15W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,MOTO G31,Yes,AMOLED,Octa-core,60 Hz,"HD,Full HD",
Samsung Galaxy A34 5G ,16/05/23,True,-7%,45999.0,42999.0,5.0,"[3, 0, 0, 0, 0]",100% satisfied with the phone. Thank you.Nice Packaging I loved this product.,Samsung,125792030_NP-1034096632,5000 - 5999 mAh,6.6 - 7 Inch,Glass,13,48,4,Corning Gorilla Glass 5,2023,"4G,GSM,5G",25W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,On-Screen,Yes,Shared,2160p,Android,Yes,SAMSUNG A34 5G,No,Super AMOLED,Octa-core,120 Hz,"HD,Full HD,4K",
Realme C55 ,16/05/23,True,-2%,21999.0,21500.0,5.0,"[1, 0, 0, 0, 0]",,RealMe,126560177_NP-1034306010,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,64MP+2MP,3,Glass,2023,"4G,GSM,2G,3.5G - HSDPA",33W,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3710,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Redmi 10 ,16/05/23,False,,20499.0,20499.0,5.0,"[3, 0, 0, 0, 0]",not bad good deal,Redmi,124380050_NP-1033775283,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,50MP+8MP+2MP+2MP,5,Corning Gorilla Glass 3,2022,"4G,3G,2G",18W fast charging,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,,No,,,Yes,Side Mounted,Yes,Shared,,,,,Yes,,,90 Hz,,
OnePlus Nord CE 5G ,16/05/23,False,,44999.0,44999.0,4.8,"[21, 2, 1, 0, 0]","awesome product and awesome deal. Thanks to daraz 11.11. unbeatable price and next day delivery.
about phone ,ONE PLUS name is enoughgreat authentic product. lovely price and customer service.Satisfied wth phone.And Impressed with the honour and quick delivery service of darz.Hope the same will b in future.Ramro xa phone . 45000 ko price range mah yo vanda better phone chae xaenaNice phone but a bit unsatisfied with the display. Contrast is too low",OnePlus,105695456_NP-1027508879,Not Specified,6.1 - 6.5 Inch,Glass,Not Specified,Not Specified,4,Glass,2021,5G,Yes,Yes,Not Specified,,,,,,,,,,,,,,,,,,,,,,,
Moto G31 ,16/05/23,False,,23999.0,23999.0,5.0,"[4, 0, 0, 0, 0]",,Motorola,118415271_NP-1032553022,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,13,50,3,Plastic,Not Specified,"4G,GSM,3G,2G,3.5G - HSDPA",10W,No,Not Specified,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A73 5G ,16/05/23,False,,75999.0,75999.0,5.0,"[2, 0, 0, 0, 0]",Wonderful product. Delivered in time. Thanks.,Samsung,113794897_NP-1030945378,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,32 MP,(Quad)108 MP+ 12MP+ 5MP+5MP,5,Corning Gorilla Glass 5,2022,"4G,GSM,3G,2G,5G",25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,Yes,Shared,4K,Android,Yes,A736B,No,Super AMOLED,Octa-core,120 Hz,Ultra HD,
Realme 10 ,16/05/23,False,,29999.0,29999.0,,,,RealMe,125032398_NP-1033965184,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,16MP,50MP+2MP,3,Corning Gorilla Glass 5,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,RMX3630,Yes,Super AMOLED,Octa-core,90 Hz,Full HD,
Micromax IN 2B ,16/05/23,True,-13%,19990.0,17489.0,4.5,"[1, 1, 0, 0, 0]",Not much perfect but satisfying at its cost performance.I got it. thanks,Micromax,114197567_NP-1031026537,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,5 MP,13 MP,3,Glass,2021,GSM,Yes,No,2,300-400 PPI,Type-C,Yes,Yes,Yes,,No,,,,Rear,,Dedicated,Full HD,Android,Yes,IN 2b,Yes,IPS LCD,Not Specified,60 Hz,Full HD,
realme 8i ,16/05/23,False,,23799.0,23799.0,4.4,"[3, 1, 1, 0, 0]","Very nice product
Best realme phone
Under budgetSmooth and fine.",RealMe,108131101_NP-1029110550,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,Not Specified,Not Specified,4,Glass,2021,4G,Yes,Not Specified,2,,,,,,,,,,,,,,Not Specified,Android,,,,,Not Specified,,,
OnePlus N20 SE Mobile Phone ,16/05/23,False,,25999.0,25999.0,5.0,"[1, 0, 0, 0, 0]","Nice!!
Thank you so much 😊",OnePlus,126115828_NP-1034165014,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,3,Not Specified,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,True,-5%,16999.0,16150.0,5.0,"[2, 0, 0, 0, 0]",safe and fast receive gare thank you daraz 😊,Samsung,120655806_NP-1032900743,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5 MP,Dual 50MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,,Yes,Dedicated,1080p,Android,Yes,SM-A045F,Yes,IPS LCD,Octa-core,60 Hz,HD,
Vivo Y02 6,16/05/23,True,-0%,12500.0,12499.0,0.0,"[0, 0, 0, 0, 0]",,Vivo,123853518_NP-1033629037,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5mp,8mp,2,Not Specified,2023,4G,10w,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,True,-5%,16999.0,16150.0,3.3,"[1, 1, 0, 0, 1]",,Samsung,120622966_NP-1032897701,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Dual 50MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,"SM-A045F,",Yes,IPS LCD,Octa-core,60 Hz,HD,
Samsung Galaxy A14 5G ,16/05/23,False,,29999.0,29999.0,5.0,"[1, 0, 0, 0, 0]",,Samsung,125804287_NP-1034103019,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP,Triple 50MP+2MP+2MP,4,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",Yes,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,Side Mounted,Yes,Dedicated,Full HD,Android,Yes,SM-A146B,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
SAMSUNG A04e  ,16/05/23,False,,13499.0,13499.0,4.7,"[2, 1, 0, 0, 0]","I got my parcel today only and Im quite impressed with your service thank you in addition to that I would like to thank daraz for sending me earphone although it was not ordered.phone all good cha majjale chalxa saab without lag camera ni aba average nai bhanum type c cha speaker ni ramrai cha

j hoss budget phone chalauda smooth cha lag chaina tei ho",Samsung,122837830_NP-1033396049,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,13MP+2MP,3,Glass,2022,"4G,GSM,3G,2G,3.5G - HSDPA",Yes,No,2,,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,No Fingerprint Sensor,,Dedicated,,Android,,SM-A042F,Yes,IPS LCD,Octa-core,60 Hz,HD,
Moto E13 ,16/05/23,False,,11999.0,11999.0,4.0,"[0, 1, 0, 0, 0]",,Motorola,126423048_NP-1034398622,5000 - 5999 mAh,6.1 - 6.5 Inch,Not Specified,5MP,13MP,1,Not Specified,2023,"4G,Not Specified",No,No,2,,,,,,,,,,,,,,,,,,,,,,,1 year on phone and 6 month on battery and charger
Honor X6 ,16/05/23,False,,18490.0,18490.0,5.0,"[1, 0, 0, 0, 0]","REALY NICE PRODUCT. SMOOTH TOUCH, REASONABLE PRICE.",Honor,119707466_NP-1032744995,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,Triple 50MP+2MP+2MP,4,Glass,2022,"4G,GSM,3G,3.5G - HSDPA",22.5W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Shared,1080p,Android,Yes,X6,Yes,TFT LCD,Octa-core,60 Hz,HD,
Apple iPhone 11  A13 Bionic chip 128 GB ,16/05/23,False,,89990.0,89990.0,,,,Apple,118777160_NP-1032552505,3000 - 3999 mAh,6.1 - 6.5 Inch,Glass,12MP,12 MP,3,Glass,2020,4G,Not Specified,Yes,1,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A04 ,16/05/23,False,,14999.0,14999.0,5.0,"[2, 0, 0, 0, 0]",The phone is well-sealed pack as expected.,Samsung,120956905_NP-1032962501,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5,50,3,Glass,2022,"4G,GSM",15W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,No,No Fingerprint Sensor,Yes,Dedicated,1080p,Android,Yes,SM-A04,Yes,IPS LCD,Octa-core,60 Hz,"HD,Full HD",
Samsung Galaxy A23 Mobile Phone ,16/05/23,True,-8%,25999.0,23999.0,4.0,"[6, 0, 0, 0, 2]","Very much disappointed with the temperament of the seal. This is why I hate online shopping. They opened the box from the opposite side of the seal by tearing it down and wrapped it with a plastic cover. Even the seal was cut down and the plastic tape was applied over it. The mobile looks fine and new but this raises trust issues. Such behavior from Daraz Certified seller is not good for the customer to move online shopping.Received what I ordered with earphone gift 🎁 
thank you2ta phone kinera tetro paisa tiresi ramrari packed garera pathauna saknu hunna? very disappointingReceived well",Samsung,113690720_NP-1030923268,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,"8 MP, f/2.2, (wide)","(Quad) 50 MP, f/1.8, (wide), PDAF + 5 MP, f/2.2, 123˚ (ultrawide) + 2 MP, f/2.4, (depth) + 2 MP, f/2.4, (macro)",5,Corning Gorilla Glass 5,2022,"4G,GSM,3G,2G",Fast charging 25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SM-A235F,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Samsung Galaxy A03 Core Mobile Phone ,16/05/23,False,,12499.0,12499.0,,,,Samsung,111039445_NP-1032409374,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5MP,8 MP,2,Glass,2021,"4G,GSM,3G,2G",Not Specified,No,2,200-300 PPI,Micro USB,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,"SM-A032F,",Yes,TFT LCD,Octa-core,90 Hz,HD,
INFINIX HOT 12 PRO 6,16/05/23,True,-0.5%,19999.0,19899.0,5.0,"[1, 0, 0, 0, 0]",nice,Infinix,119630529_NP-1032741152,5000 - 5999 mAh,6.6 - 7 Inch,Glass,8,50,2,Glasstic,2022,"4G,3G",yes,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,Yes,Yes,Rear,Yes,Dedicated,720p,Android,Yes,infinix hot 12 pro,Yes,IPS LCD,Octa-core,90 Hz,"HD,Full HD",
Apple iPhone 14 ,16/05/23,True,-9%,173990.0,157990.0,5.0,"[1, 0, 0, 0, 0]",,Apple,122734579_NP-1033360863,3000 - 3999 mAh,6.1 - 6.5 Inch,Ceramic,12,12MP+12MP,2,Corning Gorilla Glass,2022,"4G,GSM,3G,2G,5G",Yes,Yes,1,,,,,,,,,,,,,,,,,,,,,,,Manufacturing defects only.
Samsung Galaxy A14 5G ,16/05/23,False,,27999.0,27999.0,4.8,"[4, 1, 0, 0, 0]","honestly black clr best cha matt ma poto ma vanda real ma black clr ramro cha.. genuine product sealed  packvery good phone, fast delivery but didnt get VAT bill or warranty card.Delivered on time. Happy to receive it as specified.Best budget phone for sure!!",Samsung,123890590_NP-1033626862,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,13MP,Triple 50MP+2MP+2MP,4,Glass,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",Yes,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,Full HD,Android,Yes,SM-A146,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Oppo A77s ,16/05/23,True,-2%,30999.0,30500.0,5.0,"[1, 0, 0, 0, 0]",,OPPO,125119254_NP-1033974151,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8MP,Dual 50 MP+2MP,3,Glasstic,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W,No,2,200-300 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,Side Mounted,Yes,Dedicated,1080p,Android,Yes,CPH2473,Yes,IPS LCD,Octa-core,90 Hz,HD,
OnePlus N20 SE Mobile Phone ,16/05/23,False,,23499.0,23499.0,4.7,"[10, 0, 2, 0, 0]","The phone design is good. Performance is pretty basic. The phone camera is somewhat of 13 megapixel with only 5X zooming. There are so many smaller flaws to be mentioned here, but thats still ok for the price. 
All the 5-star rating to the seller! They are up to the mark. They forgot to include the gift in the package, for which, I wasnt even expecting. They got it re-delivered it to me later (the pic of the gift Im sharing here). However, the gift item did not function; it wouldnt pair up. But its still OK with me. The sellers highly recommend.Mobile is okey but i did not get mobile holder which was suppose to be delivered at the same time.  camera is not good as aspected. its like 13 megapixel or less than that ...Battery 2 weeks samma chalyo as a secondary device, aru testai ho battery chai ramro lagyoAwesome !! perfect phone.  And the gift is surprising !! 
Thank you !Thikai lagyo phone. Ali thulo xa. Not so good as expected.",OnePlus,117908720_NP-1032330174,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,8,50,3,Not Specified,2022,"4G,GSM,3G,2G,3.5G - HSDPA",33W,Not Specified,2,,,,,,,,,,,,,,,,,,,,,,,
Oppo A17k  3GB RAM 64GB ROM  side fingerprint unluck 5000 MAH battery,16/05/23,True,-14%,16999.0,14699.0,5.0,"[1, 0, 0, 0, 0]",,OPPO,123185329_NP-1033472250,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,5mp,8mp,2,Not Specified,2023,"4G,3G,2G",no,No,2,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A33 5G ,16/05/23,False,,42999.0,42999.0,5.0,"[17, 0, 0, 0, 0]","safety arrived in dhangadhi under 22hr deliveryBest phone for the price and Good sellerWell, I received the a33 5g within five days of my order. I am more satisfied with the service than I expected.Best experience Ive ever had from daraz.
Such fast delivery and such a good product.
And also got it for way cheaper prize than any other
retail shops call offer.
Thank you seller and daraz for this experienceMobile was delivered on time in perfect condition.  keep up the good service as always.",Samsung,113798724_NP-1030945241,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,"Single13 MP, f/2.2, (wide), 1/3.1,1.12µm","CAMERA: (Quad)48 MP, f/1.8, 26mm (wide), 1/2.0, 0.8µm, PDAF, OIS +8 MP, f/2.2, 123˚, (ultrawide), 1/4.0, 1.12µm +5 MP, f/2.4, (macro) +2 MP, f/2.4, (depth)",5,Corning Gorilla Glass 5,2022,"4G,GSM,3G,2G,5G",25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,On-Screen,Yes,Dedicated,4K,Android,Yes,A336B,No,Super AMOLED,Octa-core,90 Hz,Full HD,
realme c55 ,16/05/23,True,-5%,21999.0,20999.0,5.0,"[1, 0, 0, 0, 0]",,RealMe,126564620_NP-1034313191,5000 - 5999 mAh,6.6 - 7 Inch,Plastic,8MP,64MP,4,Not Specified,2023,"4G,3G,2G",33W,No,2,,,,,,,,,,,,,,,,,,,,,,,"1 years realme company warrenty and 6 month battery , charger gurrenty"
Samsung Galaxy M14 5G ,16/05/23,False,,24999.0,24999.0,0.0,"[0, 0, 0, 0, 0]",,Samsung,127233625_NP-1034491667,6000 - 6999 mAh,6.6 - 7 Inch,Plastic,13MP,50MP+2MP+2MP,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",Yes,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,No,Side Mounted,Yes,Dedicated,1080p,Android,Yes,SM-M146B/DS,Yes,IPS LCD,Octa-core,90 Hz,Full HD,
Samsung Galaxy A54 5G ,16/05/23,False,,56999.0,56999.0,5.0,"[5, 0, 0, 0, 0]","came with sealed pack genuine product.. ramro cha device no complainThe package was sealed. The phone is IMEI verified.
A great purchase.Came with good packaging, got adapter for charger as new year gift. Seal was not cracked. Got Vat bill which is the warranty card i suppose. Readily delivered within 2 days outside valley too.PRODUCT IS NIVE IF CHARGE INSIDE BOX IS MUCH MORE BETTER. ANY WAY THANKS MOBILE E-STORE FOR GIVING NEW YEAR GIFT",Samsung,125818654_NP-1034105752,5000 - 5999 mAh,6.1 - 6.5 Inch,Plastic,32MP,Triple 50MP+12MP+5MP,4,Corning Gorilla Glass 5,2023,"4G,GSM,3G,2G,3.5G - HSDPA,5G",25W,No,2,400-500 PPI,Type-C,Yes,Yes,Yes,Nano,No,Yes,No,Yes,On-Screen,Yes,Shared,4K,Android,Yes,SM-A546B/DS,No,Super AMOLED,Octa-core,120 Hz,Full HD,
